Полигон,Сумма по полю Данные телематики, пробег,Сумма по полю Данные путевого, пробег,В целевой структуре парка,Прочие,Количество по полю Штрафы,Количество по полю Дата сигнала телематики,Количество по полю Манера вождения,Сумма по полю Манера вождения2,Итоговый рейтинг,Итоговый рейтинг|Прогноз
Горьковская дир,129755.9,145696.67,278380,18421,6,1007,1007,5214.8,0.83,0.829999999
Клнг. ДУТСК,4618.77,15253.42,9679,14176,41,214,214,967.9,0.565,0.565000031
Московская ДМ,138345.35,131614.96,203719,19532,313,1200,1200,5015.3,0.705,0.85
Окт ДМ,39843.97,37554.94,24186,1870,170,564,564,2810.5,0.81,0.809999978
Северная ДМ,204596.76,274841.14,295998,7057,1,736,736,3783.3,0.85,0.85
